"measurementscale","fallwinterspring","grade","RIT","school_percentile"
"Mathematics","Winter",8,211,10
"Mathematics","Winter",9,212,10
"Mathematics","Winter",10,212,10
"Mathematics","Winter",11,213,10
"Mathematics","Winter",12,211,10
"Mathematics","Winter",0,145,15
"Mathematics","Winter",1,162,15
"Mathematics","Winter",2,174,15
"Mathematics","Winter",3,184,15
"Mathematics","Winter",4,195,15
"Mathematics","Winter",5,202,15
"Mathematics","Winter",6,206,15
"Mathematics","Winter",7,210,15
"Mathematics","Winter",8,213,15
"Mathematics","Winter",9,215,15
"Mathematics","Winter",10,215,15
"Mathematics","Winter",11,216,15
"Mathematics","Winter",12,214,15
"Mathematics","Winter",0,146,20
"Mathematics","Winter",1,163,20
"Mathematics","Winter",2,175,20
"Mathematics","Winter",3,186,20
"Mathematics","Winter",4,197,20
"Mathematics","Winter",5,204,20
"Mathematics","Winter",6,208,20
"Mathematics","Winter",7,212,20
"Mathematics","Winter",8,215,20
"Mathematics","Winter",9,217,20
"Mathematics","Winter",10,217,20
"Mathematics","Winter",11,218,20
"Mathematics","Winter",12,216,20
"Mathematics","Winter",0,147,25
"Mathematics","Winter",1,164,25
"Mathematics","Winter",2,177,25
"Mathematics","Winter",3,187,25
"Mathematics","Winter",4,198,25
"Mathematics","Winter",5,205,25
"Mathematics","Winter",6,209,25
"Mathematics","Winter",7,214,25
"Mathematics","Winter",8,217,25
"Mathematics","Winter",9,219,25
"Mathematics","Winter",10,219,25
"Mathematics","Winter",11,220,25
"Mathematics","Winter",12,218,25
"Mathematics","Winter",0,148,30
"Mathematics","Winter",1,165,30
"Mathematics","Winter",2,178,30
"Mathematics","Winter",3,188,30
"Mathematics","Winter",4,199,30
"Mathematics","Winter",5,206,30
"Mathematics","Winter",6,211,30
"Mathematics","Winter",7,215,30
"Mathematics","Winter",8,219,30
"Mathematics","Winter",9,220,30
"Mathematics","Winter",10,221,30
"Mathematics","Winter",11,222,30
"Mathematics","Winter",12,220,30
"Mathematics","Winter",0,149,35
"Mathematics","Winter",1,166,35
"Mathematics","Winter",2,179,35
"Mathematics","Winter",3,189,35
"Mathematics","Winter",4,200,35
"Mathematics","Winter",5,208,35
"Mathematics","Winter",6,212,35
"Mathematics","Winter",7,217,35
"Mathematics","Winter",8,220,35
"Mathematics","Winter",9,222,35
"Mathematics","Winter",10,223,35
"Mathematics","Winter",11,224,35
"Mathematics","Winter",12,222,35
"Mathematics","Winter",0,150,40
"Mathematics","Winter",1,167,40
"Mathematics","Winter",2,180,40
"Mathematics","Winter",3,190,40
"Mathematics","Winter",4,201,40
"Mathematics","Winter",5,209,40
"Mathematics","Winter",6,213,40
"Mathematics","Winter",7,218,40
"Mathematics","Winter",8,221,40
"Mathematics","Winter",9,223,40
"Mathematics","Winter",10,224,40
"Mathematics","Winter",11,226,40
"Mathematics","Winter",12,223,40
"Mathematics","Winter",0,150,45
"Mathematics","Winter",1,168,45
"Mathematics","Winter",2,181,45
"Mathematics","Winter",3,191,45
"Mathematics","Winter",4,202,45
"Mathematics","Winter",5,210,45
"Mathematics","Winter",6,214,45
"Mathematics","Winter",7,219,45
"Mathematics","Winter",8,223,45
"Mathematics","Winter",9,225,45
"Mathematics","Winter",10,226,45
"Mathematics","Winter",11,227,45
"Mathematics","Winter",12,225,45
"Mathematics","Winter",0,151,50
"Mathematics","Winter",1,168,50
"Mathematics","Winter",2,181,50
"Mathematics","Winter",3,192,50
"Mathematics","Winter",4,203,50
"Mathematics","Winter",5,211,50
"Mathematics","Winter",6,215,50
"Mathematics","Winter",7,220,50
"Mathematics","Winter",8,224,50
"Mathematics","Winter",9,226,50
"Mathematics","Winter",10,227,50
"Mathematics","Winter",11,229,50
"Mathematics","Winter",12,226,50
"Mathematics","Winter",0,152,55
"Mathematics","Winter",1,169,55
"Mathematics","Winter",2,182,55
"Mathematics","Winter",3,193,55
"Mathematics","Winter",4,204,55
"Mathematics","Winter",5,212,55
"Mathematics","Winter",6,216,55
"Mathematics","Winter",7,221,55
"Mathematics","Winter",8,225,55
"Mathematics","Winter",9,228,55
"Mathematics","Winter",10,229,55
"Mathematics","Winter",11,230,55
"Mathematics","Winter",12,228,55
"Mathematics","Winter",0,152,60
"Mathematics","Winter",1,170,60
"Mathematics","Winter",2,183,60
"Mathematics","Winter",3,194,60
"Mathematics","Winter",4,205,60
"Mathematics","Winter",5,213,60
"Mathematics","Winter",6,218,60
"Mathematics","Winter",7,223,60
"Mathematics","Winter",8,227,60
"Mathematics","Winter",9,229,60
"Mathematics","Winter",10,230,60
"Mathematics","Winter",11,232,60
"Mathematics","Winter",12,229,60
"Mathematics","Winter",0,153,65
"Mathematics","Winter",1,171,65
"Mathematics","Winter",2,184,65
"Mathematics","Winter",3,195,65
"Mathematics","Winter",4,207,65
"Mathematics","Winter",5,214,65
"Mathematics","Winter",6,219,65
"Mathematics","Winter",7,224,65
"Mathematics","Winter",8,228,65
"Mathematics","Winter",9,230,65
"Mathematics","Winter",10,232,65
"Mathematics","Winter",11,234,65
"Mathematics","Winter",12,231,65
"Mathematics","Winter",0,154,70
"Mathematics","Winter",1,172,70
"Mathematics","Winter",2,185,70
"Mathematics","Winter",3,197,70
"Mathematics","Winter",4,208,70
"Mathematics","Winter",5,216,70
"Mathematics","Winter",6,220,70
"Mathematics","Winter",7,225,70
"Mathematics","Winter",8,229,70
"Mathematics","Winter",9,232,70
"Mathematics","Winter",10,234,70
"Mathematics","Winter",11,235,70
"Mathematics","Winter",12,233,70
"Mathematics","Winter",0,155,75
"Mathematics","Winter",1,172,75
"Mathematics","Winter",2,186,75
"Mathematics","Winter",3,198,75
"Mathematics","Winter",4,209,75
"Mathematics","Winter",5,217,75
"Mathematics","Winter",6,221,75
"Mathematics","Winter",7,227,75
"Mathematics","Winter",8,231,75
"Mathematics","Winter",9,234,75
"Mathematics","Winter",10,236,75
"Mathematics","Winter",11,237,75
"Mathematics","Winter",12,234,75
"Mathematics","Winter",0,156,80
"Mathematics","Winter",1,173,80
"Mathematics","Winter",2,188,80
"Mathematics","Winter",3,199,80
"Mathematics","Winter",4,210,80
"Mathematics","Winter",5,218,80
"Mathematics","Winter",6,223,80
"Mathematics","Winter",7,228,80
"Mathematics","Winter",8,233,80
"Mathematics","Winter",9,235,80
"Mathematics","Winter",10,238,80
"Mathematics","Winter",11,239,80
"Mathematics","Winter",12,236,80
"Mathematics","Winter",0,157,85
"Mathematics","Winter",1,175,85
"Mathematics","Winter",2,189,85
"Mathematics","Winter",3,201,85
"Mathematics","Winter",4,212,85
"Mathematics","Winter",5,220,85
"Mathematics","Winter",6,225,85
"Mathematics","Winter",7,230,85
"Mathematics","Winter",8,235,85
"Mathematics","Winter",9,238,85
"Mathematics","Winter",10,240,85
"Mathematics","Winter",11,242,85
"Mathematics","Winter",12,239,85
"Mathematics","Winter",0,158,90
"Mathematics","Winter",1,176,90
"Mathematics","Winter",2,191,90
"Mathematics","Winter",3,203,90
"Mathematics","Winter",4,214,90
"Mathematics","Winter",5,222,90
"Mathematics","Winter",6,227,90
"Mathematics","Winter",7,232,90
"Mathematics","Winter",8,237,90
"Mathematics","Winter",9,240,90
"Mathematics","Winter",10,243,90
"Mathematics","Winter",11,245,90
"Mathematics","Winter",12,242,90
"Mathematics","Winter",0,160,95
"Mathematics","Winter",1,178,95
"Mathematics","Winter",2,193,95
"Mathematics","Winter",3,205,95
"Mathematics","Winter",4,217,95
"Mathematics","Winter",5,226,95
"Mathematics","Winter",6,230,95
"Mathematics","Winter",7,236,95
"Mathematics","Winter",8,241,95
"Mathematics","Winter",9,244,95
"Mathematics","Winter",10,247,95
"Mathematics","Winter",11,249,95
"Mathematics","Winter",12,246,95
"Mathematics","Spring",0,148,5
"Mathematics","Spring",1,165,5
"Mathematics","Spring",2,175,5
"Mathematics","Spring",3,185,5
"Mathematics","Spring",4,193,5
"Mathematics","Spring",5,199,5
"Mathematics","Spring",6,203,5
"Mathematics","Spring",7,207,5
"Mathematics","Spring",8,209,5
"Mathematics","Spring",9,209,5
"Mathematics","Spring",10,208,5
"Mathematics","Spring",11,208,5
"Mathematics","Spring",12,206,5
"Mathematics","Spring",0,150,10
"Mathematics","Spring",1,167,10
"Mathematics","Spring",2,178,10
"Mathematics","Spring",3,188,10
"Mathematics","Spring",4,197,10
"Mathematics","Spring",5,202,10
"Mathematics","Spring",6,206,10
"Mathematics","Spring",7,210,10
"Mathematics","Spring",8,213,10
"Mathematics","Spring",9,213,10
"Mathematics","Spring",10,213,10
"Mathematics","Spring",11,213,10
"Mathematics","Spring",12,211,10
"Mathematics","Spring",0,152,15
"Mathematics","Spring",1,168,15
"Mathematics","Spring",2,180,15
"Mathematics","Spring",3,190,15
"Mathematics","Spring",4,199,15
"Mathematics","Spring",5,205,15
"Mathematics","Spring",6,209,15
"Mathematics","Spring",7,213,15
"Mathematics","Spring",8,216,15
"Mathematics","Spring",9,216,15
"Mathematics","Spring",10,216,15
"Mathematics","Spring",11,216,15
"Mathematics","Spring",12,214,15
"Mathematics","Spring",0,153,20
"Mathematics","Spring",1,170,20
"Mathematics","Spring",2,181,20
"Mathematics","Spring",3,192,20
"Mathematics","Spring",4,201,20
"Mathematics","Spring",5,207,20
"Mathematics","Spring",6,211,20
"Mathematics","Spring",7,215,20
"Mathematics","Spring",8,218,20
"Mathematics","Spring",9,218,20
"Mathematics","Spring",10,218,20
"Mathematics","Spring",11,219,20
"Mathematics","Spring",12,217,20
"Mathematics","Spring",0,154,25
"Mathematics","Spring",1,171,25
"Mathematics","Spring",2,183,25
"Mathematics","Spring",3,193,25
"Mathematics","Spring",4,202,25
"Mathematics","Spring",5,208,25
"Mathematics","Spring",6,212,25
"Mathematics","Spring",7,216,25
"Mathematics","Spring",8,220,25
"Mathematics","Spring",9,220,25
"Mathematics","Spring",10,220,25
"Mathematics","Spring",11,221,25
"Mathematics","Spring",12,219,25
"Mathematics","Spring",0,155,30
"Mathematics","Spring",1,172,30
"Mathematics","Spring",2,184,30
"Mathematics","Spring",3,194,30
"Mathematics","Spring",4,204,30
"Mathematics","Spring",5,210,30
"Mathematics","Spring",6,214,30
"Mathematics","Spring",7,218,30
"Mathematics","Spring",8,221,30
"Mathematics","Spring",9,222,30
"Mathematics","Spring",10,222,30
"Mathematics","Spring",11,223,30
"Mathematics","Spring",12,221,30
"Mathematics","Spring",0,156,35
"Mathematics","Spring",1,173,35
"Mathematics","Spring",2,185,35
"Mathematics","Spring",3,196,35
"Mathematics","Spring",4,205,35
"Mathematics","Spring",5,211,35
"Mathematics","Spring",6,215,35
"Mathematics","Spring",7,219,35
"Mathematics","Spring",8,223,35
"Mathematics","Spring",9,223,35
"Mathematics","Spring",10,224,35
"Mathematics","Spring",11,225,35
"Mathematics","Spring",12,223,35
"Mathematics","Spring",0,156,40
"Mathematics","Spring",1,173,40
"Mathematics","Spring",2,186,40
"Mathematics","Spring",3,197,40
"Mathematics","Spring",4,206,40
"Mathematics","Spring",5,213,40
"Mathematics","Spring",6,217,40
"Mathematics","Spring",7,220,40
"Mathematics","Spring",8,224,40
"Mathematics","Spring",9,225,40
"Mathematics","Spring",10,226,40
"Mathematics","Spring",11,227,40
"Mathematics","Spring",12,224,40
"Mathematics","Spring",0,157,45
"Mathematics","Spring",1,174,45
"Mathematics","Spring",2,187,45
"Mathematics","Spring",3,198,45
"Mathematics","Spring",4,208,45
"Mathematics","Spring",5,214,45
"Mathematics","Spring",6,218,45
"Mathematics","Spring",7,222,45
"Mathematics","Spring",8,225,45
"Mathematics","Spring",9,226,45
"Mathematics","Spring",10,227,45
"Mathematics","Spring",11,228,45
"Mathematics","Spring",12,226,45
"Mathematics","Spring",0,158,50
"Mathematics","Spring",1,175,50
"Mathematics","Spring",2,188,50
"Mathematics","Spring",3,199,50
"Mathematics","Spring",4,209,50
"Mathematics","Spring",5,215,50
"Mathematics","Spring",6,219,50
"Mathematics","Spring",7,223,50
"Mathematics","Spring",8,227,50
"Mathematics","Spring",9,228,50
"Mathematics","Spring",10,229,50
"Mathematics","Spring",11,230,50
"Mathematics","Spring",12,228,50
"Mathematics","Spring",0,159,55
