"measurementscale","fallwinterspring","grade","RIT","student_percentile"
"Mathematics","Winter",6,231,80
"Mathematics","Winter",7,236,80
"Mathematics","Winter",8,242,80
"Mathematics","Winter",9,243,80
"Mathematics","Winter",10,246,80
"Mathematics","Winter",11,250,80
"Mathematics","Winter",12,248,80
"Mathematics","Winter",0,164,85
"Mathematics","Winter",1,183,85
"Mathematics","Winter",2,197,85
"Mathematics","Winter",3,210,85
"Mathematics","Winter",4,222,85
"Mathematics","Winter",5,230,85
"Mathematics","Winter",6,234,85
"Mathematics","Winter",7,240,85
"Mathematics","Winter",8,246,85
"Mathematics","Winter",9,247,85
"Mathematics","Winter",10,250,85
"Mathematics","Winter",11,254,85
"Mathematics","Winter",12,252,85
"Mathematics","Winter",0,167,90
"Mathematics","Winter",1,186,90
"Mathematics","Winter",2,201,90
"Mathematics","Winter",3,214,90
"Mathematics","Winter",4,226,90
"Mathematics","Winter",5,234,90
"Mathematics","Winter",6,238,90
"Mathematics","Winter",7,245,90
"Mathematics","Winter",8,251,90
"Mathematics","Winter",9,252,90
"Mathematics","Winter",10,255,90
"Mathematics","Winter",11,259,90
"Mathematics","Winter",12,258,90
"Mathematics","Winter",0,171,95
"Mathematics","Winter",1,191,95
"Mathematics","Winter",2,207,95
"Mathematics","Winter",3,220,95
"Mathematics","Winter",4,232,95
"Mathematics","Winter",5,240,95
"Mathematics","Winter",6,245,95
"Mathematics","Winter",7,251,95
"Mathematics","Winter",8,258,95
"Mathematics","Winter",9,259,95
"Mathematics","Winter",10,263,95
"Mathematics","Winter",11,267,95
"Mathematics","Winter",12,266,95
"Mathematics","Spring",0,136,5
"Mathematics","Spring",1,151,5
"Mathematics","Spring",2,161,5
"Mathematics","Spring",3,171,5
"Mathematics","Spring",4,180,5
"Mathematics","Spring",5,186,5
"Mathematics","Spring",6,190,5
"Mathematics","Spring",7,192,5
"Mathematics","Spring",8,196,5
"Mathematics","Spring",9,194,5
"Mathematics","Spring",10,195,5
"Mathematics","Spring",11,195,5
"Mathematics","Spring",12,193,5
"Mathematics","Spring",0,141,10
"Mathematics","Spring",1,157,10
"Mathematics","Spring",2,167,10
"Mathematics","Spring",3,177,10
"Mathematics","Spring",4,187,10
"Mathematics","Spring",5,192,10
"Mathematics","Spring",6,197,10
"Mathematics","Spring",7,199,10
"Mathematics","Spring",8,203,10
"Mathematics","Spring",9,202,10
"Mathematics","Spring",10,203,10
