"NormType","SubjectBid","Grade","CoeffX","Index","x1","x2","x3","x4"
2020,3,4,2,"3_4_2",-2.8821854,2.639703,0.0507637,-0.0513733
2020,3,4,3,"3_4_3",-0.1031464,0.0507637,0.003958,-0.0010765
2020,3,4,4,"3_4_4",-0.0213773,-0.0513733,-0.0010765,0.0046215
2020,3,5,1,"3_5_1",40.6856411,-1.6211202,-0.0679153,0.0001596
2020,3,5,2,"3_5_2",-1.6211202,2.4547313,0.024655,-0.0467043
2020,3,5,3,"3_5_3",-0.0679153,0.024655,0.0033119,0.0005016
2020,3,5,4,"3_5_4",0.0001596,-0.0467043,0.0005016,0.0042375
2020,3,6,1,"3_6_1",38.9674325,-1.8424252,-0.0316864,0.0041116
2020,3,6,2,"3_6_2",-1.8424252,1.9832438,0.0335739,-0.0312067
2020,3,6,3,"3_6_3",-0.0316864,0.0335739,0.0025021,-0.0004824
2020,3,6,4,"3_6_4",0.0041116,-0.0312067,-0.0004824,0.0031288
2020,3,7,1,"3_7_1",45.7429448,-1.7534414,-0.0626009,-0.0074472
2020,3,7,2,"3_7_2",-1.7534414,1.6184636,0.0310417,-0.0211087
2020,3,7,3,"3_7_3",-0.0626009,0.0310417,0.0023887,-0.0005466
2020,3,7,4,"3_7_4",-0.0074472,-0.0211087,-0.0005466,0.0024665
2020,3,8,1,"3_8_1",46.1088668,-0.690945,-0.0718937,-0.0504888
2020,3,8,2,"3_8_2",-0.690945,1.902962,0.0240273,-0.0348614
2020,3,8,3,"3_8_3",-0.0718937,0.0240273,0.0028604,0.0011006
2020,3,8,4,"3_8_4",-0.0504888,-0.0348614,0.0011006,0.003515
2020,3,9,1,"3_9_1",53.6337306,-1.7014381,-0.0602381,-0.0252176
2020,3,9,2,"3_9_2",-1.7014381,1.6167747,0.0443267,-0.0305563
2020,3,9,3,"3_9_3",-0.0602381,0.0443267,0.0025907,-0.0012952
2020,3,9,4,"3_9_4",-0.0252176,-0.0305563,-0.0012952,0.0031088
2020,3,10,1,"3_10_1",45.0394384,0.3872359,-0.0129463,0.0002994
2020,3,10,2,"3_10_2",0.3872359,1.3108157,0.0164737,-0.0247261
