"NormType","SubjectBid","Grade","CoeffX","Index","x1","x2","x3","x4"
"2020",4,6,1,"4_6_1",93.941161,1.8786386,-0.1994577,0.0358832
"2020",4,6,2,"4_6_2",1.8786386,15.5942797,0.0598708,-0.2936047
"2020",4,6,3,"4_6_3",-0.1994577,0.0598708,0.0235233,-0.0036252
"2020",4,6,4,"4_6_4",0.0358832,-0.2936047,-0.0036252,0.0239926
"2020",4,7,1,"4_7_1",108.4000879,5.0585922,-0.1425393,-0.0258033
"2020",4,7,2,"4_7_2",5.0585922,13.1040435,0.0310063,-0.318026
"2020",4,7,3,"4_7_3",-0.1425393,0.0310063,0.0243868,-0.0022405
"2020",4,7,4,"4_7_4",-0.0258033,-0.318026,-0.0022405,0.0273311
"2020",4,8,1,"4_8_1",120.9622029,15.6039926,-0.3446295,-0.3147833
"2020",4,8,2,"4_8_2",15.6039926,21.5724019,-0.2548827,-0.5942384
"2020",4,8,3,"4_8_3",-0.3446295,-0.2548827,0.0366849,0.019305
"2020",4,8,4,"4_8_4",-0.3147833,-0.5942384,0.019305,0.048987
"2020",4,9,1,"4_9_1",138.6769263,3.7379298,-0.2679738,-0.120841
"2020",4,9,2,"4_9_2",3.7379298,17.7059907,0.1801488,-0.4188339
"2020",4,9,3,"4_9_3",-0.2679738,0.1801488,0.0359092,-0.0189805
"2020",4,9,4,"4_9_4",-0.120841,-0.4188339,-0.0189805,0.0431171
"2020",4,10,1,"4_10_1",141.2396666,17.0234574,-0.2872927,-0.4714011
"2020",4,10,2,"4_10_2",17.0234574,18.0113925,-0.2518804,-0.6052464
"2020",4,10,3,"4_10_3",-0.2872927,-0.2518804,0.041503,0.0158403
"2020",4,10,4,"4_10_4",-0.4714011,-0.6052464,0.0158403,0.0654211
